sample_id,source_mat_id,url_handle_resolution,portal_url,sample_attribution,nsmp_consignment,date_provided,project_title,bioplatforms_project_code,bioplatforms_dataset_id,dataset_url_resolution,related_data,bioplatforms_project_doi,bioplatforms_project_ncbi_umbrellabioproject_id,bioplatforms_project,funding_agency,note,distributed to,ncbi_bioproject_accession_number,ncbi_biosample_accession_number
102.100.100/7059,102.100.100/7059,http://hdl.handle.net/102.100.100/7059,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7059,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873603
102.100.100/7060,102.100.100/7060,http://hdl.handle.net/102.100.100/7060,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7060,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873604
102.100.100/7061,102.100.100/7061,http://hdl.handle.net/102.100.100/7061,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7061,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873605
102.100.100/7062,102.100.100/7062,http://hdl.handle.net/102.100.100/7062,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7062,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873606
102.100.100/7063,102.100.100/7063,http://hdl.handle.net/102.100.100/7063,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7063,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873607
102.100.100/7064,102.100.100/7064,http://hdl.handle.net/102.100.100/7064,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7064,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873608
102.100.100/7065,102.100.100/7065,http://hdl.handle.net/102.100.100/7065,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7065,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873609
102.100.100/7066,102.100.100/7066,http://hdl.handle.net/102.100.100/7066,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7066,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873610
102.100.100/7067,102.100.100/7067,http://hdl.handle.net/102.100.100/7067,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7067,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873611
102.100.100/7068,102.100.100/7068,http://hdl.handle.net/102.100.100/7068,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7068,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873612
102.100.100/7069,102.100.100/7069,http://hdl.handle.net/102.100.100/7069,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7069,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873613
102.100.100/7070,102.100.100/7070,http://hdl.handle.net/102.100.100/7070,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7070,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873614
102.100.100/7071,102.100.100/7071,http://hdl.handle.net/102.100.100/7071,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7071,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873615
102.100.100/7072,102.100.100/7072,http://hdl.handle.net/102.100.100/7072,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7072,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873616
102.100.100/7073,102.100.100/7073,http://hdl.handle.net/102.100.100/7073,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7073,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873617
102.100.100/7074,102.100.100/7074,http://hdl.handle.net/102.100.100/7074,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7074,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873618
102.100.100/7075,102.100.100/7075,http://hdl.handle.net/102.100.100/7075,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7075,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873619
102.100.100/7076,102.100.100/7076,http://hdl.handle.net/102.100.100/7076,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7076,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873620
102.100.100/7077,102.100.100/7077,http://hdl.handle.net/102.100.100/7077,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7077,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873621
102.100.100/7078,102.100.100/7078,http://hdl.handle.net/102.100.100/7078,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7078,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873622
102.100.100/7079,102.100.100/7079,http://hdl.handle.net/102.100.100/7079,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7079,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873623
102.100.100/7080,102.100.100/7080,http://hdl.handle.net/102.100.100/7080,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7080,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873624
102.100.100/7081,102.100.100/7081,http://hdl.handle.net/102.100.100/7081,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7081,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873625
102.100.100/7082,102.100.100/7082,http://hdl.handle.net/102.100.100/7082,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7082,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873626
102.100.100/7083,102.100.100/7083,http://hdl.handle.net/102.100.100/7083,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7083,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873627
102.100.100/7084,102.100.100/7084,http://hdl.handle.net/102.100.100/7084,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7084,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873628
102.100.100/7085,102.100.100/7085,http://hdl.handle.net/102.100.100/7085,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7085,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873629
102.100.100/7086,102.100.100/7086,http://hdl.handle.net/102.100.100/7086,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7086,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873630
102.100.100/7087,102.100.100/7087,http://hdl.handle.net/102.100.100/7087,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7087,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873631
102.100.100/7088,102.100.100/7088,http://hdl.handle.net/102.100.100/7088,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7088,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873632
102.100.100/7089,102.100.100/7089,http://hdl.handle.net/102.100.100/7089,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7089,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873633
102.100.100/7090,102.100.100/7090,http://hdl.handle.net/102.100.100/7090,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7090,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873634
102.100.100/7091,102.100.100/7091,http://hdl.handle.net/102.100.100/7091,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7091,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873635
102.100.100/7092,102.100.100/7092,http://hdl.handle.net/102.100.100/7092,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7092,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873636
102.100.100/7093,102.100.100/7093,http://hdl.handle.net/102.100.100/7093,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7093,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873637
102.100.100/7094,102.100.100/7094,http://hdl.handle.net/102.100.100/7094,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7094,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873638
102.100.100/7095,102.100.100/7095,http://hdl.handle.net/102.100.100/7095,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7095,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873639
